Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test
1	24.78169422596693	51343368.59460449	57.13965818951954	59.022087139204984
2	48.64706811727956	5353620.6083984375	56.775621237657944	58.648000369387645
3	73.6783681162633	3326552.158023834	5.015739998483766	4.979550294293239
4	99.06186244916171	47647.09996366501	3.3494113207401592	3.2787066688676645
5	124.90278318338096	17699.269937992096	2.517828446209565	2.454029134666454
6	151.05004501715302	12096.532528162003	2.465032883207093	2.3985452272836016
7	176.67972720600665	9522.050415158272	1.651043267605267	1.6169817954329624
8	202.02122848993167	8056.3915021419525	1.707843640587938	1.673878884370058
9	227.56449614511803	7510.977852940559	2.220422622043446	2.2247274071723413
10	252.79444259498268	6773.867526173592	2.9346418660596587	2.892229346488506
11	278.38273243419826	5844.610919833183	1.7966580487804542	1.7408228666689212
12	304.6248670099303	5336.440129995346	1.3312141104153532	1.2990195098201773
13	330.0119587611407	4455.095820188522	1.1720185462831105	1.1518729470933586
14	355.9923691479489	4483.845223963261	1.1698516712231777	1.1505056550828765
15	381.89734259806573	3755.097065091133	0.9912931364761249	0.9648457645430164
16	408.04735829494894	3558.078502237797	1.0022028907965321	0.9856898039490972
17	433.52822756720707	2783.797519683838	2.1459914136417293	2.1208437060849024
18	459.1736560901627	2830.7541399002075	0.9078125189443205	0.9027856256210613
19	484.39730715192854	2497.115588068962	1.0574327796092151	1.0424868370341358
20	510.3121106121689	2146.0036296844482	2.012883636267944	2.017228299443516
21	535.6606463082135	1937.9427976310253	1.0071707137820414	0.9779918625707029
22	561.5225708163343	1768.6581134796143	0.8394700991111738	0.8214226722959806
23	587.372891546227	1682.8617333471775	1.0779298907208927	1.0729514129527435
24	612.9744792389683	1549.337517902255	0.8581269567760872	0.8348984284613954
25	638.8437423920259	1376.268357872963	0.6493758014308679	0.6365043974492655
26	664.6546911471523	1266.518048092723	0.5558459968653006	0.5326639472746066
27	689.5049184020609	1201.810548067093	1.1037408126934387	1.0758571387085054
28	715.5855665993877	1086.1501273065805	1.037957374452199	1.0152387542220165
29	741.6731850053184	1054.8554305583239	0.6638815623642897	0.6576861421708445
30	767.3523864499293	1089.8356424421072	0.5543228455106507	0.5370267729158168
31	792.9044083072804	970.2271043360233	1.4426734808067168	1.4295252157872416
32	818.3116256021895	944.7649857103825	0.4045856833188851	0.38620793561748684
33	844.1889078933746	963.8243656903505	0.4623369363306877	0.4407117694396533
34	869.7446858733892	927.0319001376629	0.5058123198911784	0.49117719471287885
